en_test,zh_test,GOOGLE,BLEU-1,BLEU-2,BLEU-3,BLEU-4,CHRF,CHRF++,TER,ROUGE1-R,ROUGE1-P,ROUGE1-F,ROUGE2-R,ROUGE2-P,ROUGE2-F,ROUGEL-R,ROUGEL-P,ROUGEL-F,BERTSCORE-R,BERTSCORE-P,BERTSCORE-F
"Several years ago here at TED, Peter Skillman  introduced a design challenge  called the marshmallow challenge.",几年前，在TED大会上， Peter Skillman 介绍了一个设计挑战 叫做“棉花糖挑战”,几年前，Peter Skillman 在 TED 上提出了一项名为“棉花糖挑战”的设计挑战。,73.291,63.609,52.509,42.386,53.61,42.707,50,0.789,0.75,0.769,0.5,0.5,0.5,0.571,0.571,0.571,0.849,0.853,0.851
"And the idea's pretty simple:  Teams of four have to build the tallest free-standing structure  out of 20 sticks of spaghetti,  one yard of tape, one yard of string  and a marshmallow.",是个非常简单的主意 要求一组四人的团队搭建一个独立的最高建筑 材料是20根意大利面条 一段胶带，一段绳子 一块棉花糖,这个想法非常简单：四人小组必须用 20 根意大利面条、一码胶带、一码绳子和棉花糖搭建最高的独立结构。,58.053,43.455,30.915,23.316,25.655,19.241,62.264,0.538,0.538,0.538,0.138,0.154,0.145,0.333,0.345,0.339,0.797,0.815,0.806
The marshmallow has to be on top.,棉花糖必须放在最上面,棉花糖必须放在上面。,90,83.666,75.915,70.711,62.903,53.917,20,0.833,0.833,0.833,0.6,0.6,0.6,0.833,0.833,0.833,0.921,0.935,0.928
"And, though it seems really simple, it's actually pretty hard  because it forces people  to collaborate very quickly.",这虽然看似简单，其实并不容易 因为它要求人们 迅速地合作,而且，虽然看起来很简单，但实际上相当困难，因为它迫使人们非常快速地进行协作。,39.474,29.214,19.231,10.04,11.571,9.918,88.462,0.438,0.35,0.389,0.133,0.095,0.111,0.438,0.318,0.368,0.826,0.772,0.798
"And so, I thought this was an interesting idea,  and I incorporated it into a design workshop.",我觉得这是个有趣的主意 我把它放到了设计专题讨论会上,因此，我认为这是一个有趣的想法，并将其纳入设计研讨会。,40.741,27.991,18.438,12.712,12.023,10.305,72,0.267,0.25,0.258,0.067,0.062,0.065,0.25,0.235,0.242,0.834,0.809,0.822
And it was a huge success.,结果非常成功,这是一个巨大的成功。,20,14.907,11.157,8.392,5.185,4.444,133.333,0.333,0.167,0.222,0,0,0,0.333,0.167,0.222,0.672,0.636,0.653
"And since then, I've conducted  about 70 design workshops across the world  with students and designers and architects,  even the CTOs of the Fortune 50,  and there's something about this exercise  that reveals very deep lessons  about the nature of collaboration,  and I'd like to share some of them with you.",从那以后， 我在全球 70多个设计专题讨论活动中 让学生们和设计者，建筑师 甚至财富50强的首席技术官 这个练习在很多方面给了我们 深刻的启迪 教会我们合作的特性 在这里我跟你们分享一些,从那时起，我在世界各地与学生、设计师和建筑师，甚至财富 50 强的 CTO 一起举办了大约 70 个设计研讨会，这次练习揭示了关于协作本质的非常深刻的教训，我'我想与您分享其中的一些内容。,52.381,35.527,24.017,16.173,17.241,12.931,73.494,0.429,0.429,0.429,0.146,0.14,0.143,0.367,0.346,0.356,0.771,0.77,0.77
"So, normally, most people begin  by orienting themselves to the task.",通常， 人们总是从 讨论开始着手完成这个任务,因此，通常情况下，大多数人都会先让自己定位于任务。,24,14.142,7.576,4.715,5.389,4.619,105,0.273,0.188,0.222,0,0,0,0.273,0.176,0.214,0.691,0.691,0.691
"They talk about it, they figure out what it's going to look like,  they jockey for power.",他们讨论一阵， 勾勒出结果会是什么样子 他们互相争论一番对错,他们谈论它，他们弄清楚它会是什么样子，他们争夺权力。,46.298,34.646,26.46,21.749,20.26,17.366,60.714,0.333,0.417,0.37,0.133,0.154,0.143,0.375,0.4,0.387,0.714,0.762,0.737
"Then they spend some time planning, organizing,  they sketch and they lay out spaghetti.",然后花费点时间计划，组织 他们画一下图纸然后拿出意大利面条,然后他们花一些时间计划、组织、绘制草图并摆出意大利面。,64.243,48.796,35.802,27.267,23.663,20.282,46.429,0.429,0.4,0.414,0.071,0.067,0.069,0.333,0.312,0.323,0.823,0.822,0.822
They spend the majority of their time  assembling the sticks into ever-growing structures.,他们用了大量的时间 把意大利面条组装得越来越高,他们大部分时间都花在将木棍组装成不断增长的结构上。,32,20,9.545,5.607,7.417,6.357,90.909,0.308,0.25,0.276,0,0,0,0.231,0.188,0.207,0.724,0.706,0.714
"And then finally, just as they're running out of time,  someone takes out the marshmallow,  and then they gingerly put it on top,  and then they stand back, and -- ta-da! --  they admire their work.",然后最后，时间快要用完了 他们拿出棉花糖 小心翼翼地将棉花糖放到最上面 然后他们后退一步，哈哈 他们欣赏着他们的成果,最后，就在他们时间不多的时候，有人拿出了棉花糖，然后他们小心翼翼地把它放在上面，然后他们往后退了一步，然后——哒哒！ ——他们欣赏自己的工作。,55.714,43.095,30.115,20.095,18.54,13.905,66.667,0.64,0.516,0.571,0.2,0.146,0.169,0.531,0.37,0.436,0.833,0.788,0.81
"But what really happens, most of the time,  is that the ""ta-da"" turns into an ""uh-oh,""  because the weight of the marshmallow causes the entire structure  to buckle and to collapse.",但是绝大多数时候，真正发生的是 “哈哈” 变成了“糟了” 因为棉花糖的重量把整个结构 给压散架了,但大多数时候，真正发生的情况是，“哒哒”变成了“呃哦”，因为棉花糖的重量导致整个结构弯曲并倒塌。,66.667,58.346,52.897,47.896,40.828,34.995,40.909,0.667,0.593,0.627,0.429,0.375,0.4,0.655,0.576,0.613,0.871,0.858,0.865
"So there are a number of people  who have a lot more ""uh-oh"" moments than others,  and among the worst are recent graduates of business school.",有那么一些人 他们的“糟了”时刻比其他人多 其中最糟的是新毕业的商学院学生,因此，有很多人比其他人有更多的“呃哦”时刻，其中最糟糕的是商学院的应届毕业生。,64.103,46.829,32.885,21.083,20.014,17.155,60,0.476,0.455,0.465,0.136,0.12,0.128,0.391,0.346,0.367,0.793,0.783,0.788
"They lie, they cheat, they get distracted  and they produce really lame structures.",他们说谎，他们欺骗，很容易受干扰 他们的建筑构造非常蹩脚,他们撒谎，他们欺骗，他们分心，他们制造出非常蹩脚的结构。,64.286,51.177,41.313,34.461,28.858,24.735,51.852,0.5,0.5,0.5,0.286,0.286,0.286,0.533,0.471,0.5,0.806,0.843,0.824
"And of course there are teams  that have a lot more ""ta-da"" structures,  and among the best are recent graduates of kindergarten.",当然也有一些团队 他们创造了更多的“哈哈”时刻 其中最好的，就是新毕业的幼儿园小朋友,当然，有些团队有更多的“ta-da”结构，其中最好的是幼儿园的应届毕业生。,58.827,43.967,32.806,23.117,22.138,18.976,57.5,0.522,0.571,0.545,0.208,0.217,0.213,0.44,0.458,0.449,0.78,0.801,0.791
And it's pretty amazing.,这个真是很神奇,这真是太神奇了。,62.5,42.258,24.597,16.516,15.179,13.01,57.143,0.25,0.2,0.222,0,0,0,0.25,0.2,0.222,0.836,0.799,0.817
"As Peter tells us,  not only do they produce the tallest structures,  but they're the most interesting structures of them all.",正如PETER告诉我们的 他们不但造出了最高的建筑 而且他们搭建的结构也是最有趣的,正如彼得告诉我们的那样，它们不仅建造了最高的结构，而且是所有结构中最有趣的。,63.158,50.601,38.462,28.397,23.382,20.041,54.286,0.611,0.55,0.579,0.333,0.304,0.318,0.545,0.5,0.522,0.845,0.807,0.826
So the question you want to ask is:  How come? Why? What is it about them?,所以你会问 这是怎么回事？他们到底有什么特点？,所以你想问的问题是：怎么会呢？为什么？他们有什么关系？,55.556,38.675,26.183,13.906,15.746,13.497,63.636,0.667,0.471,0.552,0.25,0.167,0.2,0.615,0.421,0.5,0.761,0.748,0.754
