en_test,zh_test,M2M100,BLEU-1,BLEU-2,BLEU-3,BLEU-4,CHRF,CHRF++,TER,ROUGE1-R,ROUGE1-P,ROUGE1-F,ROUGE2-R,ROUGE2-P,ROUGE2-F,ROUGEL-R,ROUGEL-P,ROUGEL-F,BERTSCORE-R,BERTSCORE-P,BERTSCORE-F
"Several years ago here at TED, Peter Skillman  introduced a design challenge  called the marshmallow challenge.",几年前，在TED大会上， Peter Skillman 介绍了一个设计挑战 叫做“棉花糖挑战”,"几年前,在这里在TED,彼得·斯基尔曼介绍了一个设计挑战称为马斯马洛挑战。",45.714,40.168,33.945,29.264,27.391,23.478,63.333,0.474,0.45,0.462,0.3,0.273,0.286,0.476,0.435,0.455,0.831,0.77,0.8
"And the idea's pretty simple:  Teams of four have to build the tallest free-standing structure  out of 20 sticks of spaghetti,  one yard of tape, one yard of string  and a marshmallow.",是个非常简单的主意 要求一组四人的团队搭建一个独立的最高建筑 材料是20根意大利面条 一段胶带，一段绳子 一块棉花糖,这个想法很简单:四个团队必须从20块蜘蛛、一块绳子、一块绳子和一块火柴中建造最高的自由站式结构。,33.708,17.958,6.807,3.544,8.725,7.478,84.906,0.231,0.24,0.235,0,0,0,0.133,0.138,0.136,0.7,0.718,0.709
The marshmallow has to be on top.,棉花糖必须放在最上面,马歇尔必须在顶部。,29.828,18.266,12.872,9.443,7.639,6.548,70,0.167,0.2,0.182,0,0,0,0.167,0.2,0.182,0.718,0.721,0.719
"And, though it seems really simple, it's actually pretty hard  because it forces people  to collaborate very quickly.",这虽然看似简单，其实并不容易 因为它要求人们 迅速地合作,"虽然它看起来很简单,但它实际上是相当困难的,因为它迫使人们非常快地合作。",38.889,27.889,16.601,9.125,10.795,9.253,88.462,0.375,0.316,0.343,0.067,0.048,0.056,0.375,0.273,0.316,0.81,0.768,0.788
"And so, I thought this was an interesting idea,  and I incorporated it into a design workshop.",我觉得这是个有趣的主意 我把它放到了设计专题讨论会上,"因此,我认为这是一个有趣的想法,我把它纳入了一个设计研讨会。",50,34.74,23.472,14.793,14.759,12.651,68,0.467,0.438,0.452,0.2,0.176,0.187,0.5,0.421,0.457,0.863,0.822,0.842
And it was a huge success.,结果非常成功,这是一个巨大的成功。,20,14.907,11.157,8.392,5.185,4.444,133.333,0.333,0.167,0.222,0,0,0,0.333,0.167,0.222,0.672,0.636,0.653
"And since then, I've conducted  about 70 design workshops across the world  with students and designers and architects,  even the CTOs of the Fortune 50,  and there's something about this exercise  that reveals very deep lessons  about the nature of collaboration,  and I'd like to share some of them with you.",从那以后， 我在全球 70多个设计专题讨论活动中 让学生们和设计者，建筑师 甚至财富50强的首席技术官 这个练习在很多方面给了我们 深刻的启迪 教会我们合作的特性 在这里我跟你们分享一些,"从那时起,我与学生和设计师和建筑师,甚至Fortune 50的CTO,在世界各地举办了大约70个设计研讨会,这项练习揭示了关于合作的深度教训,我希望与您分享一些。",42.712,27.77,17.812,9.148,13.002,9.751,72.289,0.357,0.441,0.395,0.042,0.049,0.045,0.286,0.326,0.304,0.739,0.767,0.753
"So, normally, most people begin  by orienting themselves to the task.",通常， 人们总是从 讨论开始着手完成这个任务,"因此,通常,大多数人开始将自己转向任务。",35,23.508,11.536,6.893,8.465,7.256,80,0.273,0.273,0.273,0,0,0,0.273,0.25,0.261,0.721,0.711,0.716
"They talk about it, they figure out what it's going to look like,  they jockey for power.",他们讨论一阵， 勾勒出结果会是什么样子 他们互相争论一番对错,"他们谈论它,他们知道它会是什么样子,他们为权力玩耍。",39.175,31.87,25.027,20.859,18.978,16.267,64.286,0.267,0.308,0.286,0.133,0.143,0.138,0.312,0.312,0.312,0.684,0.718,0.701
"Then they spend some time planning, organizing,  they sketch and they lay out spaghetti.",然后花费点时间计划，组织 他们画一下图纸然后拿出意大利面条,"然后,他们花了一些时间来规划,组织,他们绘制,并放出垃圾桶。",40,23.489,9.95,5.496,8.966,7.685,78.571,0.286,0.267,0.276,0,0,0,0.267,0.211,0.235,0.747,0.753,0.75
They spend the majority of their time  assembling the sticks into ever-growing structures.,他们用了大量的时间 把意大利面条组装得越来越高,他们花了大部分时间把<unk>子聚集在不断增长的结构中。,30.769,22.188,12.706,8.172,7.872,6.747,86.364,0.385,0.278,0.323,0.083,0.059,0.069,0.308,0.222,0.258,0.734,0.707,0.72
"And then finally, just as they're running out of time,  someone takes out the marshmallow,  and then they gingerly put it on top,  and then they stand back, and -- ta-da! --  they admire their work.",然后最后，时间快要用完了 他们拿出棉花糖 小心翼翼地将棉花糖放到最上面 然后他们后退一步，哈哈 他们欣赏着他们的成果,"最后,正如他们走出时间一样,有人拿出火柴,然后他们轻轻地把它放在上面,然后他们站了起来,他们 - 达! - 欣赏他们的工作。",46.552,32.584,17.85,10.084,12.756,9.567,74.074,0.36,0.346,0.353,0.067,0.061,0.063,0.312,0.278,0.294,0.725,0.733,0.729
"But what really happens, most of the time,  is that the ""ta-da"" turns into an ""uh-oh,""  because the weight of the marshmallow causes the entire structure  to buckle and to collapse.",但是绝大多数时候，真正发生的是 “哈哈” 变成了“糟了” 因为棉花糖的重量把整个结构 给压散架了,"但真正发生的事情,大多数时候,是“ta-da”变成一个“uh-oh”,因为火柴的重量会导致整个结构崩溃和崩溃。",57.447,46.076,36.134,27.059,18.83,16.14,59.091,0.5,0.429,0.462,0.214,0.176,0.194,0.483,0.4,0.437,0.797,0.764,0.78
"So there are a number of people  who have a lot more ""uh-oh"" moments than others,  and among the worst are recent graduates of business school.",有那么一些人 他们的“糟了”时刻比其他人多 其中最糟的是新毕业的商学院学生,"因此,有很多人比其他人有更多的“uh-oh”时刻,最糟糕的是最近的商学院毕业生。",63.889,46.803,31.818,21.02,17.805,15.262,62.857,0.429,0.409,0.419,0.182,0.16,0.17,0.391,0.346,0.367,0.779,0.759,0.769
"They lie, they cheat, they get distracted  and they produce really lame structures.",他们说谎，他们欺骗，很容易受干扰 他们的建筑构造非常蹩脚,"他们在说谎,他们在欺骗,他们被分散,他们产生真正的<unk>结构。",38.71,25.4,10.361,5.614,8.665,7.427,77.778,0.333,0.267,0.296,0,0,0,0.4,0.286,0.333,0.747,0.739,0.743
"And of course there are teams  that have a lot more ""ta-da"" structures,  and among the best are recent graduates of kindergarten.",当然也有一些团队 他们创造了更多的“哈哈”时刻 其中最好的，就是新毕业的幼儿园小朋友,"当然,有团队拥有更多的“ta-da”结构,其中最好的是幼儿园毕业生。",50.157,38.563,28.37,20.649,21.648,18.556,55,0.478,0.55,0.512,0.208,0.238,0.222,0.48,0.545,0.511,0.762,0.794,0.778
And it's pretty amazing.,这个真是很神奇,而且它是相当令人惊叹的。,8.333,6.155,4.558,3.386,1.389,1.19,157.143,0,0,0,0,0,0,0,0,0,0.665,0.613,0.638
