en,zh,BLEU,BERTSCORE_F1,BERTSCORE_P,BERTSCORE_R,EN_LEN
"Several years ago here at TED, Peter Skillman  introduced a design challenge  called the marshmallow challenge.",几年前，在TED大会上， Peter Skillman 介绍了一个设计挑战 叫做“棉花糖挑战”,0.0,0.44033947587013245,0.38376757502555847,0.5164738893508911,20
"And the idea's pretty simple:  Teams of four have to build the tallest free-standing structure  out of 20 sticks of spaghetti,  one yard of tape, one yard of string  and a marshmallow.",是个非常简单的主意 要求一组四人的团队搭建一个独立的最高建筑 材料是20根意大利面条 一段胶带，一段绳子 一块棉花糖,0.0,0.4888072609901428,0.5228189826011658,0.4589504599571228,43
The marshmallow has to be on top.,棉花糖必须放在最上面,0.0,0.5300821661949158,0.5347774028778076,0.525468647480011,8
"And, though it seems really simple, it's actually pretty hard  because it forces people  to collaborate very quickly.",这虽然看似简单，其实并不容易 因为它要求人们 迅速地合作,0.0,0.45308277010917664,0.459438681602478,0.446900337934494,24
"And so, I thought this was an interesting idea,  and I incorporated it into a design workshop.",我觉得这是个有趣的主意 我把它放到了设计专题讨论会上,0.0,0.39488402009010315,0.32957759499549866,0.4924672842025757,21
And it was a huge success.,结果非常成功,0.0,0.5540943145751953,0.5909906029701233,0.5215342044830322,7
"And since then, I've conducted  about 70 design workshops across the world  with students and designers and architects,  even the CTOs of the Fortune 50,  and there's something about this exercise  that reveals very deep lessons  about the nature of collaboration,  and I'd like to share some of them with you.",从那以后， 我在全球 70多个设计专题讨论活动中 让学生们和设计者，建筑师 甚至财富50强的首席技术官 这个练习在很多方面给了我们 深刻的启迪 教会我们合作的特性 在这里我跟你们分享一些,0.0,0.43475207686424255,0.3969559073448181,0.4805032014846802,66
"So, normally, most people begin  by orienting themselves to the task.",通常， 人们总是从 讨论开始着手完成这个任务,0.0,0.392012357711792,0.3279063403606415,0.4872751235961914,15
"They talk about it, they figure out what it's going to look like,  they jockey for power.",他们讨论一阵， 勾勒出结果会是什么样子 他们互相争论一番对错,0.0,0.37856733798980713,0.34183016419410706,0.42415177822113037,22
"Then they spend some time planning, organizing,  they sketch and they lay out spaghetti.",然后花费点时间计划，组织 他们画一下图纸然后拿出意大利面条,0.0,0.40832990407943726,0.3694794178009033,0.45631054043769836,18
They spend the majority of their time  assembling the sticks into ever-growing structures.,他们用了大量的时间 把意大利面条组装得越来越高,0.0,0.4574199914932251,0.49861541390419006,0.4225121736526489,17
"And then finally, just as they're running out of time,  someone takes out the marshmallow,  and then they gingerly put it on top,  and then they stand back, and -- ta-da! --  they admire their work.",然后最后，时间快要用完了 他们拿出棉花糖 小心翼翼地将棉花糖放到最上面 然后他们后退一步，哈哈 他们欣赏着他们的成果,0.0,0.4311539828777313,0.4099753797054291,0.45463991165161133,50
"But what really happens, most of the time,  is that the ""ta-da"" turns into an ""uh-oh,""  because the weight of the marshmallow causes the entire structure  to buckle and to collapse.",但是绝大多数时候，真正发生的是 “哈哈” 变成了“糟了” 因为棉花糖的重量把整个结构 给压散架了,0.0,0.4998481869697571,0.5438843965530396,0.4624088406562805,46
"So there are a number of people  who have a lot more ""uh-oh"" moments than others,  and among the worst are recent graduates of business school.",有那么一些人 他们的“糟了”时刻比其他人多 其中最糟的是新毕业的商学院学生,0.12383751369380655,0.41274580359458923,0.36333581805229187,0.4777095317840576,34
"They lie, they cheat, they get distracted  and they produce really lame structures.",他们说谎，他们欺骗，很容易受干扰 他们的建筑构造非常蹩脚,0.0,0.42869624495506287,0.39687448740005493,0.46606573462486267,17
"And of course there are teams  that have a lot more ""ta-da"" structures,  and among the best are recent graduates of kindergarten.",当然也有一些团队 他们创造了更多的“哈哈”时刻 其中最好的，就是新毕业的幼儿园小朋友,0.0,0.4519304633140564,0.4349461495876312,0.47029513120651245,30
And it's pretty amazing.,这个真是很神奇,0.0,0.5455173254013062,0.5430179834365845,0.5480397939682007,6
"As Peter tells us,  not only do they produce the tallest structures,  but they're the most interesting structures of them all.",正如PETER告诉我们的 他们不但造出了最高的建筑 而且他们搭建的结构也是最有趣的,0.0,0.4449208974838257,0.4901384115219116,0.4073418080806732,27
So the question you want to ask is:  How come? Why? What is it about them?,所以你会问 这是怎么回事？他们到底有什么特点？,0.0,0.37914741039276123,0.32771000266075134,0.4497383236885071,21
"And Peter likes to say that  none of the kids spend any time  trying to be CEO of Spaghetti, Inc. Right?",Peter喜欢这样说： “因为没有任何孩子企图做 意大利面条公司的总裁。” 是的,0.12427280164767711,0.43667349219322205,0.3933289647102356,0.49075424671173096,25
They don't spend time jockeying for power.,他们没在争夺权力上花任何时间,0.0,0.39839595556259155,0.3301418423652649,0.5022273063659668,9
But there's another reason as well.,但是其中还有另一个原因,0.0,0.5136301517486572,0.5313051342964172,0.4970932602882385,8
"And the reason is that business students are trained  to find the single right plan, right?",因为商学院的学生受过的专业训练是 去寻找一个正确的计划,0.0,0.39376920461654663,0.33356422185897827,0.4804934859275818,19
And then they execute on it.,然后他们按照计划执行,0.0,0.5709298253059387,0.5706861019134521,0.5711737275123596,7
"And then what happens is, when they put the marshmallow on the top,  they run out of time and what happens?",然而事实是， 当他们把棉花糖放到顶部时 他们用完了有限的时间，然后呢,0.0,0.45359742641448975,0.4907386898994446,0.4216826558113098,25
It's a crisis.,危机就降临了,0.0,0.5252981781959534,0.5682929158210754,0.4883515238761902,5
Sound familiar? Right.,听着很熟悉吧？是的。,0.0,0.5044042468070984,0.5208389163017273,0.488974928855896,5
"What kindergarteners do differently  is that they start with the marshmallow,  and they build prototypes, successive prototypes,  always keeping the marshmallow on top,  so they have multiple times to fix when they build prototypes along the way.",幼儿园的孩子的做法不一样 他们从棉花糖开始 他们先建一个样板模型， 然后不断在模型上加建， 其间总是让棉花糖保持在最上面 所以他们一直有很多机会去不断修正样板模型,0.0,0.42625388503074646,0.3953419625759125,0.4624098539352417,46
Designers recognize this type of collaboration  as the essence of the iterative process.,于是设计者认识到这种合作是 这个互动过程中的重要因素,0.12427280164767711,0.41353854537010193,0.3389182984828949,0.5302943587303162,15
"And with each version, kids get instant feedback  about what works and what doesn't work.",对每个版本，孩子都会迅速地得到反馈 他们知道什么行，什么不行,0.0,0.41059789061546326,0.3690267503261566,0.4627242088317871,19
"So the capacity to play in prototype is really essential,  but let's look at how different teams perform.",所以把握雏形的能力是真正的关键 让我们来看看不同的队伍是怎样表现的,0.12427280164767711,0.41501376032829285,0.34755149483680725,0.5149739384651184,22
"So the average for most people is around 20 inches;  business schools students, about half of that;  lawyers, a little better, but not much better than that,  kindergarteners, better than most adults.",大多数人建的塔的平均高度是20英尺 商学院学生， 大概是一半 律师好一些， 但也好不到哪里去 幼儿园的孩子，比大多数的成年人要好,0.0,0.39357563853263855,0.37155595421791077,0.4183696508407593,43
Who does the very best?,谁做得最好呢？,0.0,0.3834344148635864,0.31155210733413696,0.49843496084213257,6
