en,zh,pred,BLEU,BERTSCORE_F1,BERTSCORE_P,BERTSCORE_R,EN_LEN
"Several years ago here at TED, Peter Skillman  introduced a design challenge  called the marshmallow challenge.",几年前，在TED大会上， Peter Skillman 介绍了一个设计挑战 叫做“棉花糖挑战”,"几 年 前 , T E D , , 彼 得 · 沃 森   给 了 一 个 挑 战 挑 战 挑 战 挑 战 挑 战 挑 战 挑 战 挑 战 。",8.312565735249724,0.7019883394241333,0.7052435874938965,0.6987629532814026,20
"And the idea's pretty simple:  Teams of four have to build the tallest free-standing structure  out of 20 sticks of spaghetti,  one yard of tape, one yard of string  and a marshmallow.",是个非常简单的主意 要求一组四人的团队搭建一个独立的最高建筑 材料是20根意大利面条 一段胶带，一段绳子 一块棉花糖,"这 个 非 常 简 单 : : : 四 四   ⁇   建 造 建 造 最 高 的   ⁇     ⁇   ,     ⁇     ⁇     ⁇     ⁇   ,   一 个   ⁇     ⁇     ⁇   ,   一 个   ⁇     ⁇   和 一 个   ⁇     ⁇   和 一 个   ⁇     ⁇     ⁇",9.495968211895882,0.6348063349723816,0.6465228796005249,0.6235069036483765,43
The marshmallow has to be on top.,棉花糖必须放在最上面,  ⁇   必 须 必 须 在 顶 部 。,9.442944296079734,0.74733966588974,0.7845803499221802,0.7134740352630615,8
"And, though it seems really simple, it's actually pretty hard  because it forces people  to collaborate very quickly.",这虽然看似简单，其实并不容易 因为它要求人们 迅速地合作,"然 而 , 似 乎 真 的 简 单 , 它 很 难 ,   因 为 它 非 常 强 大 ,   因 为 它 使 人 们 合 作 。",7.768254208774181,0.707668125629425,0.7124273777008057,0.7029721140861511,24
"And so, I thought this was an interesting idea,  and I incorporated it into a design workshop.",我觉得这是个有趣的主意 我把它放到了设计专题讨论会上,"因 此 我 , 我 想 , 有 趣 的 想 法 , 把 它 把 它 放 进 一 个 设 计 。",11.62384487900906,0.713871419429779,0.718942403793335,0.7088714838027954,21
And it was a huge success.,结果非常成功,这 是 个 巨 大 的 成 功 。,9.535414040914192,0.6612489819526672,0.6446599960327148,0.6787142753601074,7
"And since then, I've conducted  about 70 design workshops across the world  with students and designers and architects,  even the CTOs of the Fortune 50,  and there's something about this exercise  that reveals very deep lessons  about the nature of collaboration,  and I'd like to share some of them with you.",从那以后， 我在全球 70多个设计专题讨论活动中 让学生们和设计者，建筑师 甚至财富50强的首席技术官 这个练习在很多方面给了我们 深刻的启迪 教会我们合作的特性 在这里我跟你们分享一些,"我 , , 我 已 经 设 计 7 0 7 0 个 设 计 , 和 和 和 建 筑 师 和 建 筑 师 ,   甚 至 , , , , , , , , , , , , , , , , , , , , , , , , , , , , 分 享 了 一 些 关 于 自 然 , , 分 享 分 享 。",4.225180744673339,0.5963968634605408,0.5970978140830994,0.5956976413726807,66
"So, normally, most people begin  by orienting themselves to the task.",通常， 人们总是从 讨论开始着手完成这个任务,"通 常 , 通 常 开 始 开 始 开 始 任 务 任 务 。",6.597833499136778,0.720062255859375,0.7642878293991089,0.6806749105453491,15
"They talk about it, they figure out what it's going to look like,  they jockey for power.",他们讨论一阵， 勾勒出结果会是什么样子 他们互相争论一番对错,"他 们 讨 论 , ,   他 们 找 出 什 么 样 的   ⁇   , ,   ⁇     ⁇   。",13.296094028705097,0.6843377947807312,0.6976830363273621,0.6714935302734375,22
"Then they spend some time planning, organizing,  they sketch and they lay out spaghetti.",然后花费点时间计划，组织 他们画一下图纸然后拿出意大利面条,"然 后 花 时 间 时 间 , 计 划 , 组 织 ,   ⁇     ⁇     ⁇     ⁇   。",7.765661181589251,0.7115978002548218,0.749711811542511,0.677171528339386,18
They spend the majority of their time  assembling the sticks into ever-growing structures.,他们用了大量的时间 把意大利面条组装得越来越高,他 们 花 大 部 分 时 间 时 间 大 部 分 时 间     ⁇     ⁇     ⁇     ⁇     ⁇,5.422719131058113,0.6375505328178406,0.6666007041931152,0.610926628112793,17
"And then finally, just as they're running out of time,  someone takes out the marshmallow,  and then they gingerly put it on top,  and then they stand back, and -- ta-da! --  they admire their work.",然后最后，时间快要用完了 他们拿出棉花糖 小心翼翼地将棉花糖放到最上面 然后他们后退一步，哈哈 他们欣赏着他们的成果,"最 后 , , 他 们 , , , , , ,   ⁇     ⁇   ,   然 后   ⁇     ⁇     ⁇     然 后   ⁇     ⁇     ⁇   ,   ⁇     ⁇     ⁇   ,   ⁇     ⁇     ⁇     ⁇   。",2.454439979132142,0.6125030517578125,0.6273659467697144,0.5983279943466187,50
"But what really happens, most of the time,  is that the ""ta-da"" turns into an ""uh-oh,""  because the weight of the marshmallow causes the entire structure  to buckle and to collapse.",但是绝大多数时候，真正发生的是 “哈哈” 变成了“糟了” 因为棉花糖的重量把整个结构 给压散架了,"但 是 真 正 发 生 , , , , “ “   ⁇   ” ”   变 成 一 个   ⁇     ⁇   ,   因 为 整 个   ⁇   整 个 整 个 结 构   ⁇     ⁇     ⁇     ⁇     ⁇     ⁇     ⁇     ⁇     ⁇   。",15.34008818021493,0.7083523869514465,0.7551589012145996,0.6670095920562744,46
"So there are a number of people  who have a lot more ""uh-oh"" moments than others,  and among the worst are recent graduates of business school.",有那么一些人 他们的“糟了”时刻比其他人多 其中最糟的是新毕业的商学院学生,"所 以 , 许 多 人 在 很 多 人 ,   比 比 其 他 人 更   ⁇   , , 最 最 糟 糕 的 教 育 。",8.568419395266064,0.6493304371833801,0.6656203269958496,0.6338188648223877,34
"They lie, they cheat, they get distracted  and they produce really lame structures.",他们说谎，他们欺骗，很容易受干扰 他们的建筑构造非常蹩脚,"他 们   ⁇   骗 ,   ⁇     ⁇     ⁇   ,   他 们   ⁇     ⁇     ⁇     ⁇   结 构 。",4.07748532583177,0.6876897811889648,0.6928372979164124,0.6826182007789612,17
"And of course there are teams  that have a lot more ""ta-da"" structures,  and among the best are recent graduates of kindergarten.",当然也有一些团队 他们创造了更多的“哈哈”时刻 其中最好的，就是新毕业的幼儿园小朋友,"当 然 , 团 队 也 有 更 多 的 “   ⁇   ” 结 构 , , , 大 学 。",7.045170874581814,0.7038590908050537,0.7564882040023804,0.6580765843391418,30
And it's pretty amazing.,这个真是很神奇,令 人 惊 讶 。,0.0,0.6193681359291077,0.6246181726455688,0.6142055988311768,6
"As Peter tells us,  not only do they produce the tallest structures,  but they're the most interesting structures of them all.",正如PETER告诉我们的 他们不但造出了最高的建筑 而且他们搭建的结构也是最有趣的,"正 如 彼 得 告 诉 我 们 的 , 不 仅 不 仅 制 造 高 高 的 结 构 的 结 构 ,   但 他 们 是 最 最 结 构 结 构 。",18.341681391245235,0.7686852216720581,0.778842568397522,0.7587893009185791,27
