en,zh,pred,BLEU,BERTSCORE_F1,BERTSCORE_P,BERTSCORE_R,EN_LEN
"Several years ago here at TED, Peter Skillman  introduced a design challenge  called the marshmallow challenge.",几年前，在TED大会上， Peter Skillman 介绍了一个设计挑战 叫做“棉花糖挑战”,"在 过 去 的 年 前 , , , , , , , , , ,   ⁇     ⁇     ⁇  ",28.31743708765452,0.8173622488975525,0.8105512857437134,0.8242886066436768,20
"And the idea's pretty simple:  Teams of four have to build the tallest free-standing structure  out of 20 sticks of spaghetti,  one yard of tape, one yard of string  and a marshmallow.",是个非常简单的主意 要求一组四人的团队搭建一个独立的最高建筑 材料是20根意大利面条 一段胶带，一段绳子 一块棉花糖,"这 是 , , , , , , , , , , , , , , ,   ⁇   , , , ,   ⁇   , , ,   ⁇     ⁇   。",2.828774184911806,0.6569814682006836,0.6496782302856445,0.6644507646560669,43
The marshmallow has to be on top.,棉花糖必须放在最上面,  ⁇     ⁇   。,28.46946938149361,0.8253524303436279,0.8428509831428528,0.808565616607666,8
"And, though it seems really simple, it's actually pretty hard  because it forces people  to collaborate very quickly.",这虽然看似简单，其实并不容易 因为它要求人们 迅速地合作,"因 为 , , , , , , , , , , , 。",6.412921425524157,0.6690050363540649,0.7062253952026367,0.6355115175247192,24
"And so, I thought this was an interesting idea,  and I incorporated it into a design workshop.",我觉得这是个有趣的主意 我把它放到了设计专题讨论会上,"因 此 , 我 , , , , , , , 。",26.234189765541814,0.8022500872612,0.7929810285568237,0.8117383718490601,21
And it was a huge success.,结果非常成功,这 是   ⁇   。 。,9.535414040914192,0.6711599826812744,0.6474097967147827,0.6967190504074097,7
"And since then, I've conducted  about 70 design workshops across the world  with students and designers and architects,  even the CTOs of the Fortune 50,  and there's something about this exercise  that reveals very deep lessons  about the nature of collaboration,  and I'd like to share some of them with you.",从那以后， 我在全球 70多个设计专题讨论活动中 让学生们和设计者，建筑师 甚至财富50强的首席技术官 这个练习在很多方面给了我们 深刻的启迪 教会我们合作的特性 在这里我跟你们分享一些,", , , , , 和   ⁇   和   ⁇   和   ⁇   和   ⁇   和   ⁇   , , , , , , , , , , , , , , , , ,",13.351865002650184,0.7425981760025024,0.7667967081069946,0.719880223274231,66
"So, normally, most people begin  by orienting themselves to the task.",通常， 人们总是从 讨论开始着手完成这个任务,"因 此 , , , , , ,   ⁇     ⁇     ⁇  ",6.857061569910705,0.7282353043556213,0.7354105710983276,0.7211987376213074,15
"They talk about it, they figure out what it's going to look like,  they jockey for power.",他们讨论一阵， 勾勒出结果会是什么样子 他们互相争论一番对错,"他 们 它 们 , , , , , , , , ,   ⁇     ⁇   ,",17.248469309075375,0.7001850605010986,0.7108238935470581,0.6898599863052368,22
"Then they spend some time planning, organizing,  they sketch and they lay out spaghetti.",然后花费点时间计划，组织 他们画一下图纸然后拿出意大利面条,"他 们 他 们 他 们 , , , , 他 们 他 们 他 们 他 们 他 们 他 们 他 们 他 们 他 们 他 们 他 们 他 们 他 们 他 们 。",5.7862859591005735,0.7585507035255432,0.7662726640701294,0.7509827613830566,18
They spend the majority of their time  assembling the sticks into ever-growing structures.,他们用了大量的时间 把意大利面条组装得越来越高,"它 们 它 们 他 们 的   ⁇   ,   ⁇     ⁇     ⁇   。",5.178785990900079,0.7021970152854919,0.7007803320884705,0.7036193609237671,17
"And then finally, just as they're running out of time,  someone takes out the marshmallow,  and then they gingerly put it on top,  and then they stand back, and -- ta-da! --  they admire their work.",然后最后，时间快要用完了 他们拿出棉花糖 小心翼翼地将棉花糖放到最上面 然后他们后退一步，哈哈 他们欣赏着他们的成果,"然 后 , , ,   ⁇   , , , , , ,   ⁇   , , ,   ⁇   , ,   ⁇     ⁇   , ,   ⁇     ⁇     ⁇   ,",3.006240412859101,0.6706583499908447,0.6866928935050964,0.6553555727005005,50
